,CustomerID,SeniorCitizen,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaymentMethod,MonthlyCharges,Churn
0,7590-VHVEG,0,DSL,No,Yes,No,No,No,No,Electronic check,29.85,0
1,5575-GNVDE,0,DSL,Yes,No,Yes,No,No,No,Mailed check,56.95,0
2,3668-QPYBK,0,DSL,Yes,Yes,No,No,No,No,Mailed check,53.85,1
3,7795-CFOCW,0,DSL,Yes,No,Yes,Yes,No,No,Bank transfer (automatic),42.3,0
4,9237-HQITU,0,Fiber optic,No,No,No,No,No,No,Electronic check,70.7,1
5,9305-CDSKC,0,Fiber optic,No,No,Yes,No,Yes,Yes,Electronic check,99.65,1
6,1452-KIOVK,0,Fiber optic,No,Yes,No,No,Yes,No,Credit card (automatic),89.1,0
7,6713-OKOMC,0,DSL,Yes,No,No,No,No,No,Mailed check,29.75,0
8,7892-POOKP,0,Fiber optic,No,No,Yes,Yes,Yes,Yes,Electronic check,104.8,1
9,6388-TABGU,0,DSL,Yes,Yes,No,No,No,No,Bank transfer (automatic),56.15,0
10,9763-GRSKD,0,DSL,Yes,No,No,No,No,No,Mailed check,49.95,0
11,7469-LKBCI,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Credit card (automatic),18.95,0
12,8091-TTVAX,0,Fiber optic,No,No,Yes,No,Yes,Yes,Credit card (automatic),100.35,0
13,0280-XJGEX,0,Fiber optic,No,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),103.7,1
14,5129-JLPIS,0,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Electronic check,105.5,0
15,3655-SNQYZ,0,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),113.25,0
16,8191-XWSZG,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mailed check,20.65,0
17,9959-WOFKT,0,Fiber optic,Yes,No,Yes,No,Yes,Yes,Bank transfer (automatic),106.7,0
18,4190-MFLUW,0,DSL,No,No,Yes,Yes,No,No,Credit card (automatic),55.2,1
19,4183-MYFRB,0,Fiber optic,No,Yes,Yes,No,No,Yes,Electronic check,90.05,0
20,8779-QRDMV,1,DSL,No,No,Yes,No,No,Yes,Electronic check,39.65,1
21,1680-VDCWW,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),19.8,0
22,1066-JKSGK,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mailed check,20.15,1
23,3638-WEABW,0,DSL,No,Yes,No,Yes,No,No,Credit card (automatic),59.9,0
24,6322-HRPFA,0,DSL,Yes,Yes,No,Yes,No,No,Credit card (automatic),59.6,0
25,6865-JZNKO,0,DSL,Yes,Yes,No,No,No,No,Bank transfer (automatic),55.3,0
26,6467-CHFZW,0,Fiber optic,No,Yes,No,No,Yes,Yes,Electronic check,99.35,1
27,8665-UTDHZ,0,DSL,No,Yes,No,No,No,No,Electronic check,30.2,1
28,5248-YGIJN,0,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),90.25,0
29,8773-HHUOZ,0,DSL,No,No,No,No,Yes,Yes,Mailed check,64.7,1
30,3841-NFECX,1,Fiber optic,Yes,Yes,Yes,Yes,No,No,Credit card (automatic),96.35,0
31,4929-XIHVW,1,Fiber optic,No,No,Yes,No,Yes,Yes,Credit card (automatic),95.5,0
32,6827-IEAUQ,0,DSL,Yes,Yes,Yes,Yes,No,No,Mailed check,66.15,0
33,7310-EGVHZ,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),20.2,0
34,3413-BMNZE,1,DSL,No,No,No,No,No,No,Bank transfer (automatic),45.25,0
35,6234-RAAPL,0,Fiber optic,Yes,Yes,No,Yes,Yes,No,Bank transfer (automatic),99.9,0
36,6047-YHPVI,0,Fiber optic,No,No,No,No,No,No,Electronic check,69.7,1
37,6572-ADKRS,0,Fiber optic,No,No,Yes,No,No,No,Credit card (automatic),74.8,0
38,5380-WJKOV,0,Fiber optic,No,Yes,Yes,No,Yes,Yes,Electronic check,106.35,1
39,8168-UQWWF,0,Fiber optic,No,No,Yes,No,Yes,Yes,Bank transfer (automatic),97.85,1
40,8865-TNMNX,0,DSL,No,Yes,No,No,No,No,Mailed check,49.55,0
41,9489-DEDVP,0,DSL,Yes,Yes,No,No,Yes,No,Credit card (automatic),69.2,0
42,9867-JCZSP,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mailed check,20.75,0
43,4671-VJLCL,0,DSL,Yes,Yes,Yes,Yes,Yes,No,Credit card (automatic),79.85,0
44,4080-IIARD,0,DSL,Yes,Yes,No,Yes,Yes,No,Electronic check,76.2,0
45,3714-NTNFO,0,Fiber optic,No,No,No,No,No,Yes,Electronic check,84.5,0
46,5948-UJZLF,0,DSL,No,Yes,No,No,No,No,Mailed check,49.25,0
47,7760-OYPDY,0,Fiber optic,No,No,No,No,Yes,No,Electronic check,80.65,1
48,7639-LIAYI,0,DSL,Yes,No,No,Yes,Yes,Yes,Credit card (automatic),79.75,0
49,2954-PIBKO,0,DSL,Yes,No,Yes,Yes,No,No,Credit card (automatic),64.15,0
50,8012-SOUDQ,1,Fiber optic,No,Yes,No,No,Yes,No,Electronic check,90.25,0
51,9420-LOJKX,0,Fiber optic,Yes,Yes,No,No,Yes,Yes,Credit card (automatic),99.1,1
52,6575-SUVOI,1,DSL,Yes,No,No,Yes,Yes,No,Credit card (automatic),69.5,0
53,7495-OOKFY,1,Fiber optic,No,Yes,No,No,No,No,Credit card (automatic),80.65,1
54,4667-QONEA,1,DSL,Yes,Yes,Yes,Yes,No,Yes,Credit card (automatic),74.85,0
55,1658-BYGOY,1,Fiber optic,No,No,No,No,Yes,Yes,Electronic check,95.45,1
56,8769-KKTPH,0,Fiber optic,Yes,No,No,No,Yes,Yes,Credit card (automatic),99.65,0
57,5067-XJQFU,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Electronic check,108.45,0
58,3957-SQXML,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Credit card (automatic),24.95,0
59,5954-BDFSG,0,Fiber optic,No,No,Yes,Yes,Yes,Yes,Credit card (automatic),107.5,0
60,0434-CSFON,0,Fiber optic,No,No,Yes,No,Yes,Yes,Electronic check,100.5,0
61,1215-FIGMP,0,Fiber optic,No,Yes,No,No,Yes,No,Bank transfer (automatic),89.9,0
62,0526-SXDJP,0,DSL,Yes,Yes,Yes,No,No,No,Bank transfer (automatic),42.1,0
63,0557-ASKVU,0,DSL,No,No,Yes,Yes,No,No,Credit card (automatic),54.4,0
64,5698-BQJOH,0,Fiber optic,No,No,No,No,Yes,Yes,Electronic check,94.4,1
65,5122-CYFXA,0,DSL,No,Yes,No,Yes,Yes,Yes,Electronic check,75.3,0
66,8627-ZYGSZ,0,Fiber optic,No,Yes,No,No,No,No,Electronic check,78.9,0
67,3410-YOQBQ,0,DSL,No,Yes,Yes,Yes,Yes,Yes,Mailed check,79.2,0
68,3170-NMYVV,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),20.15,0
69,7410-OIEDU,0,Fiber optic,Yes,No,Yes,No,No,No,Mailed check,79.85,0
70,2273-QCKXA,0,DSL,No,No,No,Yes,No,No,Mailed check,49.05,0
71,0731-EBJQB,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Electronic check,20.4,0
72,1891-QRQSA,1,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),111.6,0
73,8028-PNXHQ,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),24.25,0
74,5630-AHZIL,0,DSL,Yes,No,No,Yes,No,Yes,Bank transfer (automatic),64.5,0
75,2673-CXQEU,1,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Electronic check,110.5,0
76,6416-JNVRK,0,DSL,No,No,No,No,No,Yes,Credit card (automatic),55.65,0
77,5590-ZSKRV,0,DSL,Yes,Yes,No,No,No,No,Mailed check,54.65,0
78,0191-ZHSKZ,1,DSL,Yes,Yes,No,No,Yes,Yes,Electronic check,74.75,0
79,3887-PBQAO,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Credit card (automatic),25.9,0
80,5919-TMRGD,0,Fiber optic,No,No,No,No,Yes,No,Electronic check,79.35,1
81,8108-UXRQN,0,DSL,Yes,No,No,No,Yes,Yes,Electronic check,50.55,0
82,9191-MYQKX,0,Fiber optic,No,No,Yes,No,No,No,Bank transfer (automatic),75.15,1
83,9919-YLNNG,0,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),103.8,0
84,0318-ZOPWS,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),20.15,0
85,4445-ZJNMU,0,Fiber optic,No,Yes,No,No,Yes,Yes,Credit card (automatic),99.3,0
86,4808-YNLEU,0,DSL,Yes,No,No,No,Yes,No,Bank transfer (automatic),62.15,0
87,1862-QRWPE,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),20.65,0
88,2796-NNUFI,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mailed check,19.95,0
89,3016-KSVCP,0,DSL,No,No,No,No,Yes,No,Mailed check,33.75,0
90,4767-HZZHQ,0,Fiber optic,No,Yes,Yes,No,No,No,Bank transfer (automatic),82.05,0
91,2424-WVHPL,1,Fiber optic,No,No,No,Yes,No,No,Electronic check,74.7,0
92,7233-PAHHL,0,DSL,Yes,No,Yes,Yes,Yes,Yes,Mailed check,84.0,0
93,6067-NGCEU,0,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Credit card (automatic),111.05,0
94,9848-JQJTX,0,Fiber optic,No,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),100.9,0
95,8637-XJIVR,0,Fiber optic,Yes,No,No,No,No,No,Electronic check,78.95,1
96,9803-FTJCG,0,DSL,Yes,Yes,No,Yes,No,No,Credit card (automatic),66.85,0
97,0278-YXOOG,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mailed check,21.05,1
98,3212-KXOCR,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),21.0,0
99,4598-XLKNJ,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Electronic check,98.5,1
